Metric,Category,Clean Baseline,Base Model (Attacked),Updated Model (Ours),Absolute Diff,Relative Improvement (%),Higher is Better,Outcome,Attack,NoiseRate
Entropy (Exposure Spread),Fairness & Discovery,0.8755328140588582,0.843076793873522,0.8743415309718061,0.031264737098284145,3.708409165746112,True,🟢 WIN (+),random_flip,0.05
Novelty (Self-Information bits),Fairness & Discovery,10.76032554196236,10.31905133733848,10.793015882224298,0.47396454488581696,4.593101917913931,True,🟢 WIN (+),random_flip,0.05
GKPI (Holistic Harmonic Metric),Overall Performance,0.0,0.0,0.0,0.0,0.0,True,⚪ PAR,random_flip,0.05
ΔGKPI (Attack Degradation %),Adversarial Robustness,,0.0,0.0,0.0,0.0,False,⚪ PAR,random_flip,0.05
CSS (Calibration Stability Score),Adversarial Robustness,,0.23956446969791295,0.0017285751419227058,-0.23783589455599025,99.27845095556013,False,🟢 WIN (+),random_flip,0.05
Denoising Detection F1,Adversarial Robustness,,0.9742185826171829,0.9691689641591178,-0.005049618458065064,-0.518324998944236,True,🔴 LOSS (-),random_flip,0.05
Denoising Detection ROC-AUC,Adversarial Robustness,,0.5,0.8239700404534589,0.3239700404534589,64.79400809069178,True,🟢 WIN (+),random_flip,0.05
Recall@10,Ranking Accuracy,0.0,0.0,0.0,0.0,0.0,True,⚪ PAR,random_flip,0.1
nDCG@10,Ranking Accuracy,0.0,0.0,0.0,0.0,0.0,True,⚪ PAR,random_flip,0.1
RMSE-PC (Calibration Error),Popularity Calibration,0.05769702550578303,0.297261495203696,0.057689193810429786,-0.2395723013932662,80.59311591267523,False,🟢 WIN (+),random_flip,0.1
MRMC (Rank Miscalibration),Popularity Calibration,0.16860196201011068,0.6175980602735359,0.17951455696257324,-0.4380835033109627,70.93343251708632,False,🟢 WIN (+),random_flip,0.1
APLT@10 (Long-Tail %),Fairness & Discovery,0.8433333333333334,0.5,0.844,0.344,68.8,True,🟢 WIN (+),random_flip,0.1
LTC@10 (Catalog Coverage),Fairness & Discovery,0.005570117955439056,0.0049148099606815205,0.005573770491803279,0.0006589605311217587,13.407650273224048,True,🟢 WIN (+),random_flip,0.1
Entropy (Exposure Spread),Fairness & Discovery,0.8755328140588582,0.8453317981551811,0.819810475270841,-0.02552132288434006,-3.01908942027696,True,🔴 LOSS (-),random_flip,0.1
Novelty (Self-Information bits),Fairness & Discovery,10.76032554196236,10.219082561173076,10.578651865894996,0.3595693047219193,3.5186065145229963,True,🟢 WIN (+),random_flip,0.1
GKPI (Holistic Harmonic Metric),Overall Performance,0.0,0.0,0.0,0.0,0.0,True,⚪ PAR,random_flip,0.1
ΔGKPI (Attack Degradation %),Adversarial Robustness,,0.0,0.0,0.0,0.0,False,⚪ PAR,random_flip,0.1
CSS (Calibration Stability Score),Adversarial Robustness,,0.23956446969791295,7.831695353247015e-06,-0.23955663800255972,99.99673086106505,False,🟢 WIN (+),random_flip,0.1
Denoising Detection F1,Adversarial Robustness,,0.9478532646093878,0.9637649283066901,0.015911663697302347,1.6787053747037075,True,🟢 WIN (+),random_flip,0.1
Denoising Detection ROC-AUC,Adversarial Robustness,,0.5,0.828555235753425,0.32855523575342505,65.711047150685,True,🟢 WIN (+),random_flip,0.1
Recall@10,Ranking Accuracy,0.0,0.0,0.0,0.0,0.0,True,⚪ PAR,random_flip,0.2
nDCG@10,Ranking Accuracy,0.0,0.0,0.0,0.0,0.0,True,⚪ PAR,random_flip,0.2
RMSE-PC (Calibration Error),Popularity Calibration,0.05769702550578303,0.297261495203696,0.0591932835243928,-0.2380682116793032,80.08713389407158,False,🟢 WIN (+),random_flip,0.2
MRMC (Rank Miscalibration),Popularity Calibration,0.16860196201011068,0.6175980602735359,0.17757816177125343,-0.4400198985022825,71.24696899264814,False,🟢 WIN (+),random_flip,0.2
APLT@10 (Long-Tail %),Fairness & Discovery,0.8433333333333334,0.5,0.8460000000000001,0.3460000000000001,69.20000000000002,True,🟢 WIN (+),random_flip,0.2
LTC@10 (Catalog Coverage),Fairness & Discovery,0.005570117955439056,0.003931847968545216,0.004919645785503444,0.000987797816958228,25.122991144637602,True,🟢 WIN (+),random_flip,0.2
Entropy (Exposure Spread),Fairness & Discovery,0.8755328140588582,0.8728580348474647,0.9270627986180997,0.05420476377063499,6.210032056370711,True,🟢 WIN (+),random_flip,0.2
Novelty (Self-Information bits),Fairness & Discovery,10.76032554196236,10.483728929441343,10.629121887310136,0.14539295786879336,1.386843925928759,True,🟢 WIN (+),random_flip,0.2
GKPI (Holistic Harmonic Metric),Overall Performance,0.0,0.0,0.0,0.0,0.0,True,⚪ PAR,random_flip,0.2
ΔGKPI (Attack Degradation %),Adversarial Robustness,,0.0,0.0,0.0,0.0,False,⚪ PAR,random_flip,0.2
CSS (Calibration Stability Score),Adversarial Robustness,,0.23956446969791295,0.0014962580186097668,-0.2380682116793032,99.37542573800843,False,🟢 WIN (+),random_flip,0.2
Denoising Detection F1,Adversarial Robustness,,0.8896411169415293,0.9439366007022267,0.05429548376069748,6.103077154005462,True,🟢 WIN (+),random_flip,0.2
Denoising Detection ROC-AUC,Adversarial Robustness,,0.5,0.8172701213255426,0.31727012132554255,63.45402426510851,True,🟢 WIN (+),random_flip,0.2
Recall@10,Ranking Accuracy,0.0,0.0,0.0,0.0,0.0,True,⚪ PAR,agas,0.05
nDCG@10,Ranking Accuracy,0.0,0.0,0.0,0.0,0.0,True,⚪ PAR,agas,0.05
RMSE-PC (Calibration Error),Popularity Calibration,0.05769702550578303,0.297261495203696,0.06029735198626874,-0.23696414321742726,79.71572068392159,False,🟢 WIN (+),agas,0.05
MRMC (Rank Miscalibration),Popularity Calibration,0.16860196201011068,0.6175980602735359,0.17919590668505372,-0.4384021535884822,70.98502760748838,False,🟢 WIN (+),agas,0.05
APLT@10 (Long-Tail %),Fairness & Discovery,0.8433333333333334,0.5,0.8473333333333334,0.3473333333333334,69.46666666666668,True,🟢 WIN (+),agas,0.05
LTC@10 (Catalog Coverage),Fairness & Discovery,0.005570117955439056,0.003275466754012447,0.003934426229508197,0.0006589594754957497,20.118032786885237,True,🟢 WIN (+),agas,0.05
Entropy (Exposure Spread),Fairness & Discovery,0.8755328140588582,0.8905708976382548,0.9062182095403808,0.015647311902125982,1.756997892433022,True,🟢 WIN (+),agas,0.05
Novelty (Self-Information bits),Fairness & Discovery,10.76032554196236,10.44256147234968,10.880920344695541,0.43835887234586046,4.19780983340695,True,🟢 WIN (+),agas,0.05
GKPI (Holistic Harmonic Metric),Overall Performance,0.0,0.0,0.0,0.0,0.0,True,⚪ PAR,agas,0.05
ΔGKPI (Attack Degradation %),Adversarial Robustness,,0.0,0.0,0.0,0.0,False,⚪ PAR,agas,0.05
CSS (Calibration Stability Score),Adversarial Robustness,,0.23956446969791295,0.002600326480485707,-0.23696414321742726,98.9145608763417,False,🟢 WIN (+),agas,0.05
Denoising Detection F1,Adversarial Robustness,,0.9995149930412045,0.9772193604171024,-0.022295632624102057,-2.23064514082611,True,🔴 LOSS (-),agas,0.05
Denoising Detection ROC-AUC,Adversarial Robustness,,1.0,0.6821726013298757,-0.31782739867012433,-31.78273986701243,True,🔴 LOSS (-),agas,0.05
Recall@10,Ranking Accuracy,0.0,0.0,0.0,0.0,0.0,True,⚪ PAR,agas,0.1
nDCG@10,Ranking Accuracy,0.0,0.0,0.0,0.0,0.0,True,⚪ PAR,agas,0.1
